16 -v seq 0.101
16 -v seq 0.100
16 -v seq 0.167
16 -v seq 0.140
16 -v seq 0.100
16 -v ji 0.200
16 -v ji 0.177
16 -v ji 0.177
16 -v ji 0.202
16 -v ji 0.198
32 -v seq 0.382
32 -v seq 0.355
32 -v seq 0.348
32 -v seq 0.381
32 -v seq 0.530
32 -v ji 0.683
32 -v ji 0.696
32 -v ji 0.811
32 -v ji 0.684
32 -v ji 0.694
48 -v seq 1.260
48 -v seq 0.780
48 -v seq 0.793
48 -v seq 1.127
48 -v seq 1.143
48 -v ji 1.500
48 -v ji 1.496
48 -v ji 1.710
48 -v ji 1.593
48 -v ji 1.457
64 -v seq 1.260
64 -v seq 1.473
64 -v seq 1.441
64 -v seq 1.357
64 -v seq 1.336
64 -v ji 4.131
64 -v ji 2.568
64 -v ji 2.605
64 -v ji 2.719
64 -v ji 3.590
80 -v seq 2.749
80 -v seq 2.777
80 -v seq 3.008
80 -v seq 2.606
80 -v seq 2.644
80 -v ji 4.617
80 -v ji 4.495
80 -v ji 5.154
80 -v ji 4.398
80 -v ji 5.365
96 -v seq 3.730
96 -v seq 3.279
96 -v seq 3.259
96 -v seq 3.370
96 -v seq 5.038
96 -v ji 8.622
96 -v ji 7.100
96 -v ji 6.775
96 -v ji 6.672
96 -v ji 6.553
112 -v seq 4.536
112 -v seq 4.304
112 -v seq 4.510
112 -v seq 4.652
112 -v seq 4.318
112 -v ji 8.974
112 -v ji 8.567
112 -v ji 8.809
112 -v ji 8.975
112 -v ji 8.521
128 -v seq 7.095
128 -v seq 7.624
128 -v seq 5.916
128 -v seq 5.758
128 -v seq 6.076
128 -v ji 35.064
128 -v ji 35.611
128 -v ji 39.114
128 -v ji 44.352
128 -v ji 43.843
256 -v seq 23.551
256 -v seq 23.718
256 -v seq 25.087
256 -v seq 23.591
256 -v seq 23.455
256 -v ji 257.178
256 -v ji 257.371
256 -v ji 256.690
256 -v ji 254.357
256 -v ji 256.860
